paperNum,ins,lat,lng,ins1,lat1,lng1,year1,journal
4,"University Of California, Los Angeles",34.068921,-118.4451811,University Of Oklahoma,35.2058936,-97.4457137,1965,JESP
4,University Of Oklahoma,35.2058936,-97.4457137,University Of Texas,30.2849185,-97.7340567,1965,JESP
32,Iowa State Universityjohn R Schuck,42.0266187,-93.6464654,Ohio State University,40.0141905,-83.0309143,1965,JESP
32,Ohio State University,40.0141905,-83.0309143,University Of Missouri,38.9403808,-92.3277375,1965,JESP
2,Duke University,36.0014258,-78.9382286,Educational Testing Service,40.3445203,-74.7162036,1965,JESP
14,"Centre National De La Recherche Scientifique,Paris",48.8476037,2.2639934,"University Of North Carolina, ",35.9049122,-79.0469134,1965,JESP
30,State University Of New York At Stoney Brook,40.9123761,-73.1233889,University Of Minnesota,44.97399,-93.2277285,1965,JESP
33,San Fernando Valley State College,34.2410366,-118.5276745,Yale University,41.3163244,-72.9223431,1965,JESP
35,University Of Colorado,40.007581,-105.2659417,University Of Utah,40.7649368,-111.8421021,1965,JESP
38,Duke University,36.0014258,-78.9382286,Education Testing Service,38.5793976,-121.4887256,1965,JESP
10,Stanford University,37.4274745,-122.169719,Stanford University,37.4274745,-122.169719,1965,JESP
12,The University Of Michigan,42.2780436,-83.7382241,The University Of Michigan,42.2780436,-83.7382241,1965,JESP
18,New York University,40.7295134,-73.9964609,New York University,40.7295134,-73.9964609,1965,JESP
19,Yale University,41.3163244,-72.9223431,Yale University,41.3163244,-72.9223431,1965,JESP
20,Yale University,41.3163244,-72.9223431,Yale University,41.3163244,-72.9223431,1965,JESP
21,Stanford University,37.4274745,-122.169719,Stanford University,37.4274745,-122.169719,1965,JESP
22,University Of Minnesota,44.97399,-93.2277285,University Of Minnesota,44.97399,-93.2277285,1965,JESP
23,Carnegie Institute Of Technology,40.4435617,-79.9431684,Carnegie Institute Of Technology,40.4435617,-79.9431684,1965,JESP
24,University Of Minnesota,44.97399,-93.2277285,University Of Minnesota,44.97399,-93.2277285,1965,JESP
25, Carnegie Institute Of Technology,40.4435617,-79.9431684, Carnegie Institute Of Technology,40.4435617,-79.9431684,1965,JESP
26,University Of Colorado,40.007581,-105.2659417,University Of Colorado,40.007581,-105.2659417,1965,JESP
27,University Of Denver,39.6766174,-104.9618965,University Of Denver,39.6766174,-104.9618965,1965,JESP
28,Columbia University,40.8075355,-73.9625727,Columbia University,40.8075355,-73.9625727,1965,JESP
29,University Of Hawaii,21.296939,-157.8171118,University Of Hawaii,21.296939,-157.8171118,1965,JESP
31,"Teachers College, Columbia University",40.80999,-73.9600535,"Teachers College, Columbia University",40.80999,-73.9600535,1965,JESP
34,Kansas State University,39.1974437,-96.5847249,Kansas State University,39.1974437,-96.5847249,1965,JESP
36,University Of Missouri,38.9403808,-92.3277375,University Of Missouri,38.9403808,-92.3277375,1965,JESP
37,The Pennsylvania State University,40.7982133,-77.8599084,The Pennsylvania State University,40.7982133,-77.8599084,1965,JESP
39,Hunter College Of The City University Of New York,40.7655886,-73.9561743,Hunter College Of The City University Of New York,40.7655886,-73.9561743,1965,JESP
7, University Of Toronto,43.7077119,-79.3949416,University Of Toronto,43.7077119,-79.3949416,1966,JESP
11,New York University,40.7295134,-73.9964609,University Of Texas,30.2849185,-97.7340567,1966,JESP
47, University Of Texas,30.2849185,-97.7340567,University Of Texaskeith Reeves,29.7106841,-95.4008952,1966,JESP
61,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,University Of Toronto,43.7077119,-79.3949416,1966,JESP
64,University Of Minnesota,44.97399,-93.2277285,University Of Texas,30.2849185,-97.7340567,1966,JESP
66,Carnegie Institute Of Technology,40.4435617,-79.9431684,Laboratorie De Psychologie Sociale De La Sarbonue,39.3563941,-76.6341285,1966,JESP
67,Laboratorie De Psychologie Sociale D'Aix-En-Provence,43.5154549,5.4471361,"Laboratorie De Psychologie Sociale De La Sarbonue,Paris",48.849476,2.3445959,1966,JESP
68,The John Slade Ely Center,41.3127646,-72.9203733,Yale University,41.3163244,-72.9223431,1966,JESP
69,University Of Minnesota,44.97399,-93.2277285,University Of Texas,30.2849185,-97.7340567,1966,JESP
1,Columbia University,40.8075355,-73.9625727,Columbia University,40.8075355,-73.9625727,1966,JESP
3,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,1966,JESP
5,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,1966,JESP
6, University Of Minnesota,44.97399,-93.2277285, University Of Minnesota,44.97399,-93.2277285,1966,JESP
8,University Of Connecticut,41.8077414,-72.2539805,University Of Connecticut,41.8077414,-72.2539805,1966,JESP
9,"Bell Telephone Laboratories, Murray Hill, New Jersey",40.6838482,-74.4011339,"Bell Telephone Laboratories, Murray Hill, New Jersey",40.6838482,-74.4011339,1966,JESP
13,Columbia University,40.8075355,-73.9625727,Columbia University,40.8075355,-73.9625727,1966,JESP
15, Columbia University,40.8075355,-73.9625727, Columbia University,40.8075355,-73.9625727,1966,JESP
16,Educational Testing Service,40.3445203,-74.7162036,Educational Testing Service,40.3445203,-74.7162036,1966,JESP
17,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,1966,JESP
40,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,"Naval Medical Research Institute, Bethesda, Maryland",39.0056247,-77.0531111,1966,JESP
41,Washington State University,46.7319225,-117.1542121,Washington State University,46.7319225,-117.1542121,1966,JESP
42,"University Of California, Berkeley",37.8718992,-122.2585399,"University Of California, Berkeley",37.8718992,-122.2585399,1966,JESP
43," Bell Telephone Laboratories,Incorporated, Murray Hill, New Jersey",40.6838482,-74.4011339," Bell Telephone Laboratories,Incorporated, Murray Hill, New Jersey",40.6838482,-74.4011339,1966,JESP
44,Yale University,41.3163244,-72.9223431,Yale University,41.3163244,-72.9223431,1966,JESP
45,University Of Minnesota,44.97399,-93.2277285,University Of Minnesota,44.97399,-93.2277285,1966,JESP
46,University Of Minnesotaperry Prestholdt,44.97399,-93.2277285,University Of Minnesotaperry Prestholdt,44.97399,-93.2277285,1966,JESP
48,University Of  California,37.8718992,-122.2585399,University Of  California,37.8718992,-122.2585399,1966,JESP
49,Oxford University,51.7548164,-1.2543668,Oxford University,51.7548164,-1.2543668,1966,JESP
50,"University Of California, Los Angeles",34.068921,-118.4451811,"University Of California, Los Angeles",34.068921,-118.4451811,1966,JESP
51,Dartmouth College,43.7044406,-72.2886935,Dartmouth College,43.7044406,-72.2886935,1966,JESP
52,University Of Missouri,38.9403808,-92.3277375,University Of Missouri,38.9403808,-92.3277375,1966,JESP
53,The University Of Michigan,42.2780436,-83.7382241,The University Of Michigan,42.2780436,-83.7382241,1966,JESP
54,"University Of California, Los Angeles",34.068921,-118.4451811,"University Of California, Los Angeles",34.068921,-118.4451811,1966,JESP
55,Yale University,41.3163244,-72.9223431,Yale University,41.3163244,-72.9223431,1966,JESP
56,Marquette University,43.038473,-87.9304455,Marquette University,43.038473,-87.9304455,1966,JESP
57,Columbia University,40.8075355,-73.9625727,Columbia University,40.8075355,-73.9625727,1966,JESP
58,University Of Illinois,40.1019523,-88.2271615,University Of Illinois,40.1019523,-88.2271615,1966,JESP
59,Indiana University,39.1784384,-86.5133166,Indiana University,39.1784384,-86.5133166,1966,JESP
60,"University Of  California, Riverside",33.9737055,-117.3280644,"University Of  California, Riverside",33.9737055,-117.3280644,1966,JESP
62,Duke University,36.0014258,-78.9382286,Duke University,36.0014258,-78.9382286,1966,JESP
63,The Ohio State University,40.0141905,-83.0309143,The Ohio State University,40.0141905,-83.0309143,1966,JESP
