paperNum,ins,lat,lng,ins1,lat1,lng1,year1,journal
640,"Graduate School and University Center, City University of New York",40.748449,-73.9834916,Queens College of The City University of New York,40.7362341,-73.8160795,1976,PSPB
640,Queens College of The City University of New York,40.7362341,-73.8160795,State University of New York at Purchase,41.0470389,-73.7004189,1976,PSPB
649,Duke University,36.0014258,-78.9382286,University of Kansas,38.9543439,-95.2557961,1976,PSPB
650,and Northern Illinois University,41.9333925,-88.764021,Hope College,42.7871797,-86.1023574,1976,PSPB
639,University of South Florida,28.0587031,-82.4138539,University of South Florida,28.0587031,-82.4138539,1976,PSPB
641,University of Iowa,41.6626963,-91.5548998,University of Iowa,41.6626963,-91.5548998,1976,PSPB
642,"University of Maryland, College Park",38.9869183,-76.9425543,"University of Maryland, College Park",38.9869183,-76.9425543,1976,PSPB
643,University of Alberta,53.5232189,-113.5263186,University of Alberta,53.5232189,-113.5263186,1976,PSPB
644,"California State University, Sacramento",38.5612918,-121.4240519,"California State University, Sacramento",38.5612918,-121.4240519,1976,PSPB
645,"California State University, Sacramento",38.5612918,-121.4240519,"California State University, Sacramento",38.5612918,-121.4240519,1976,PSPB
646,University of Southern California,34.0223519,-118.285117,University of Southern California,34.0223519,-118.285117,1976,PSPB
647,University of Georgia,33.9480053,-83.3773221,University of Georgia,33.9480053,-83.3773221,1976,PSPB
648,University of Iowa,41.6626963,-91.5548998,University of Iowa,41.6626963,-91.5548998,1976,PSPB
651,Purdue University,40.4237054,-86.9211946,Purdue University,40.4237054,-86.9211946,1976,PSPB
652,University of Warsaw,52.2403463,21.0186012,University of Warsaw,52.2403463,21.0186012,1976,PSPB
653,Vanderbilt University,36.1447034,-86.8026551,Vanderbilt University,36.1447034,-86.8026551,1976,PSPB
654,University of Maryland Baltimore County,39.2556759,-76.7109674,University of Maryland Baltimore County,39.2556759,-76.7109674,1976,PSPB
655,University of Nebraska-Lincoln,40.8201966,-96.7004763,University of Nebraska-Lincoln,40.8201966,-96.7004763,1976,PSPB
664,Carleton University,45.3875812,-75.6960202,McGill University,45.5047847,-73.5771511,1976,PSPB
664,McGill University,45.5047847,-73.5771511,Swarthmore College,39.9040349,-75.3523171,1976,PSPB
664,Swarthmore College,39.9040349,-75.3523171,University of Bristol,51.4584172,-2.6029792,1976,PSPB
664,University of Bristol,51.4584172,-2.6029792,University of Strathclyde,55.862122,-4.2422851,1976,PSPB
665,Northwestern University,42.0564594,-87.675267,University of Illinois at Chicago,41.8697938,-87.6496336,1976,PSPB
667,Illinois Benedictine College,41.7783779,-88.0967798,"University of Illinois, Chicago Circle",41.8719123,-87.6479535,1976,PSPB
669,Franklin and Marshall College,40.047491,-76.317889,University of Iowa,41.6626963,-91.5548998,1976,PSPB
656,University of Missouri - St. Louis,38.7092401,-90.30828,University of Missouri - St. Louis,38.7092401,-90.30828,1976,PSPB
657,Cumberland County Mental Health Center,35.0552673,-78.8915331,Cumberland County Mental Health Center,35.0552673,-78.8915331,1976,PSPB
658,"Brooklyn College, City University of New York",40.6310816,-73.9509433,"Brooklyn College, City University of New York",40.6310816,-73.9509433,1976,PSPB
659,University of Alberta,53.5232189,-113.5263186,University of Alberta,53.5232189,-113.5263186,1976,PSPB
660,University of Maine at Orono,44.9012197,-68.6666508,University of Maine at Orono,44.9012197,-68.6666508,1976,PSPB
661,Loyola University of Chicago,41.9989483,-87.6582592,Loyola University of Chicago,41.9989483,-87.6582592,1976,PSPB
662,"Teachers College, Columbia University",40.809773,-73.959971,"Teachers College, Columbia University",40.809773,-73.959971,1976,PSPB
